Number,Date Sold,City,Type of Land,Block,Land ID,Area (m2),Price (kd),lat/long,1-Street (Y/N), Back and Front Streets? (0/1),Corner (0/1),Island (0/1),Alley (0/1),Next to Electricity Generator (0/1),Next to a yard (0/1),width,length,Front Yard Area (m2),back Yard Area (m2),Right Yard,Left Yard,Sea Side,Built (0/1),No. Floors,Basement (0/1),Year Built,Restoration DateRestoration Date,ruinous,Rented,Number Of Unit,Income
1,10/08/2011,Funtaitees,Residential,1,193,500,175000,29.229838 48.095395,1,0,0,0,0,0,
2,09/13/2011,Funtaitees,Residential,1,386,400,200000,29.227168 48.095032,0,1,0,0,0,0,
3,09/14/2011,Almansouriya,Residential,2,230,1500,1300000,29.354892 47.997266,0,0,1,0,1,0,
4,05/10/2011,Funtaitees,Residential,1,359,400,173000,29.228453 48.096277,1,0,0,0,1,0,
5,09/25/20111,Almesayel,Residential,5,232,400,180000,29.232177 48.085599,1,0,0,0,0,0
